Sample Name,CJ001,CJ002,CJ003,CJ004,CJ005,CJ006,CJ007,CJ008,CJ009,CJ010,CJ011,CJ012,CJ013,CJ014,CJ015,CJ016,CJ017,CJ018
Treatment,Ca,Ca,Ca,Ca,Ca,Ca,Ca,Ca,Ca,None,None,None,None,None,None,None,None,None
Elevation,High,High,High,Low,Low,Low,Spruce Fir,Spruce Fir,Spruce Fir,High,High,High,Low,Low,Low,Spruce Fir,Spruce Fir,Spruce Fir
Depth,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe
Gene9876,3.066736793,5.768810954,12.18474941,4.653600998,4.602728788,14.3729043,3.982053454,5.001177658,12.77965001,3.098034994,6.583817661,7.477690777,3.063352549,5.354065417,17.56606977,2.550832241,2.847072896,5.968103741
Gene9877,3.373410472,2.125351404,0.529771713,0,1.937991069,0,0.853297169,2.143361854,0.815722341,4.647052491,1.843468945,1.246281796,4.19195612,2.784114017,1.463839147,4.463956422,1.138829158,1.627664657
Gene9878,3.066736793,3.64345955,2.648858567,1.368706176,0.968995534,6.126155929,1.137729558,2.381513171,4.6224266,1.35539031,2.633527064,2.492563592,1.773519897,1.499138317,3.415624677,0.63770806,0.949024299,2.170219542
Gene9879,0.613347359,0,0.264885857,0,2.180239952,0,1.137729558,0,0,0,0,2.180993143,0,0,0,1.913124181,0.18980486,0
Gene9880,0,3.64345955,5.827488848,0,0,4.005563492,0,0,3.262889365,0,0,0,2.09597806,0,0,0,0,0
Gene9881,0.613347359,0,0,0.821223705,0.484497767,0,0.853297169,0.714453951,1.087629788,0.774508748,0.263352706,0.934711347,1.289832652,0.64248785,0,0.425138707,0,1.356387214
Gene9882,6.746820944,7.2869191,15.09849383,6.296048408,5.329475439,6.833020075,7.679674518,6.191934244,5.710056388,7.551460298,5.530406835,4.050415837,7.255308669,15.20554578,9.270981267,5.739372542,5.314536072,7.324490955
Gene9883,55.81460963,56.77724465,62.77794804,50.36838727,49.41877225,53.95729645,56.60204552,52.86959239,48.94334047,77.45087485,58.72765354,64.8066534,67.39375608,50.75654015,53.91807527,49.31608999,58.64970166,46.65972016
Gene9884,0.306673679,0,4.767945421,2.189929881,1.211244418,2.827456583,0.568864779,0,2.175259576,0.774508748,2.106821651,1.557852245,1.128603571,1.070813083,1.95178553,0.425138707,0.569414579,1.627664657
Gene9885,0,0,0,0,0,0,0,0.476302634,0,1.742644684,0,0.311570449,0,0,0,0,0,0
Gene9886,64.70814633,71.35108285,79.99552873,44.89356256,53.77925216,59.61220962,50.91339773,66.20606614,78.5812522,55.5710027,66.36488202,73.21905552,57.23632394,61.25050837,46.11093315,64.83365279,59.97833567,69.71830279
Gene9887,0,0,0.529771713,0,0,0,0.853297169,0,0,0,0.263352706,1.246281796,0.322458163,0.214162617,0.487946382,0,0.379609719,0
Gene9888,391.0089411,302.4071426,310.7111099,355.8636057,312.5010598,332.2261485,310.315737,291.2590608,326.2889365,331.10249,294.1649731,307.5200332,300.531008,309.2508185,310.8218457,291.4325835,270.66173,292.9796382
Gene9889,4.600105189,0,4.503059564,4.653600998,3.39148437,0,0,0,5.166241494,0,4.213643303,0,4.030727038,0,4.879463825,0,0,0
Gene9890,5.826799906,8.805027245,11.6549777,5.201083468,9.44770646,13.43041877,9.101836466,9.287901365,16.04253938,8.132341859,12.64092991,12.46281796,5.481788772,11.13645607,10.24687403,5.951941895,9.300438127,10.57982027
Gene9891,66.24151472,92.30097526,99.59708212,70.35149743,76.55064722,80.81813399,83.05425775,92.87901365,100.8776629,65.05873487,95.07032702,89.42071887,84.64526781,87.59251022,91.9778931,69.08503986,92.62477155,87.08005913
Gene9892,35.5741468,59.20621769,92.97493571,43.52485639,49.17652337,76.34132773,42.09599366,53.1077437,74.77454794,48.98767834,55.56742106,54.21325813,46.11151732,53.32649155,66.60468121,46.76525775,49.72887325,62.39381184
Gene9893,7.360168303,3.339837921,5.032831278,9.03346076,8.236462042,6.361777311,3.982053454,7.858993463,8.429130859,8.325969046,3.160232477,4.361986287,7.094079588,10.2798056,6.587276164,5.526803189,0,5.154271413
Gene9894,0,0,0,0,0.242248884,0.706864146,0,0,0.543814894,0.193627187,0,0.623140898,0,0.428325233,0.243973191,0,0,0.813832328
Gene9895,0,0,0,0,0.242248884,0.706864146,0,0,0.543814894,0.193627187,0,0.623140898,0,0.428325233,0.243973191,0,0,0.813832328
