CJ001,CJ002,CJ003,CJ004,CJ005,CJ006,CJ007,CJ008,CJ009,CJ010,CJ011,CJ012,CJ013,CJ014,CJ015,CJ016,CJ017,CJ018
4.812119355,6.022084993,8.121611497,5.317770498,5.743038098,10.0021714,5.819841002,6.288808962,6.953709255,4.37701656,7.646658718,6.090545485,5.876876813,6.243294607,6.980630229,4.821299252,7.355545227,8.446615918
2.512995663,2.174641803,4.842700023,3.418566749,1.574017849,3.216557321,1.075936992,2.804468862,3.427884844,1.236256586,1.445405002,3.175412603,3.425857099,3.518947869,3.202877399,2.127043788,2.033791307,2.295276065
26.46665645,37.24771088,41.11250541,30.3397799,27.94945208,35.73462997,28.1699867,24.77280828,36.82527718,25.32655384,31.00626858,27.32937077,25.31791954,28.90834594,29.48289709,21.16408569,27.79514786,28.50732872
0.213871971,0,0,0,0,0.132187287,0.097812454,0,0.244848917,0.03341234,0.093251936,0,0,0,0.164250123,0.177253649,0,0.091811043
1.924847742,3.512882913,2.37090522,2.279044499,2.254674216,3.348744609,2.005155303,2.931944719,3.08509636,1.303081266,2.797558068,2.65485316,2.31175723,2.421641545,2.17631413,1.630733571,3.626927831,2.432992629
59.40294003,60.88997049,57.15394923,59.54003754,62.45022169,60.10115324,62.59997044,61.27339543,52.98530574,61.27823184,60.89351394,58.30265763,53.92243369,61.37347789,49.56247463,58.17464759,60.97984269,53.98489304
0.053467993,0,0.050444792,0,0,0,0.097812454,0.084983905,0.14690935,0,0,0.104111889,0.08355749,0,0,0,0,0
13.4204662,16.89529401,19.9256928,13.86418737,16.33575281,15.06935074,14.76968053,12.40765012,15.62136093,12.83033862,14.40742405,14.88800007,14.90108576,14.56768742,14.00232299,12.12414959,10.98247306,10.32874229
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082125062,0,0,0
152.7045875,152.001886,148.0554643,143.9121641,138.2583246,161.7531771,132.8782185,146.8521877,156.1646395,143.706475,143.7478587,143.1538469,135.0010517,132.1308168,131.7285987,135.8471966,141.6535645,139.2314461
152.7045875,152.001886,148.0554643,143.9121641,138.2583246,161.7531771,132.8782185,146.8521877,156.1646395,143.706475,143.7478587,143.1538469,135.0010517,132.1308168,131.7285987,135.8471966,141.6535645,139.2314461
152.7045875,152.001886,148.0554643,143.9121641,138.2583246,161.7531771,132.8782185,146.8521877,156.1646395,143.706475,143.7478587,143.1538469,135.0010517,132.1308168,131.7285987,135.8471966,141.6535645,139.2314461
93.08777552,106.3901682,112.8954443,96.05222962,102.3962422,103.2823337,107.7893241,104.7426628,100.7798144,105.6832319,102.5771291,102.0817068,99.46126587,100.0819045,100.6442629,104.8987095,110.0620062,103.562856
0.160403978,0.055760046,0.201779168,0.094960187,0,0.132187287,0.244531135,0.16996781,0.097939567,0.03341234,0,0.260279722,0.222819974,0.340543342,0.041062531,0.03545073,0.067793044,0
10.64013057,20.29665683,32.94044912,11.53766278,15.31476826,28.77276618,12.715619,17.59166831,24.9256198,13.63223478,20.04916615,18.74013995,14.48329831,17.36771045,25.54089413,14.07393973,16.47370959,15.97512141
10.80053455,18.5680954,28.6526418,14.52890868,17.90977066,27.49495573,11.10171351,17.97409589,24.58283131,11.66090671,18.83689099,19.52097912,16.29371059,16.34608043,26.0336445,13.82578462,17.1177435,18.63764165
0,0.111520092,0.100889584,0,0.127623069,0.088124858,0.048906227,0,0,0,0.093251936,0.052055944,0.055704993,0,0,0.141802919,0,0.091811043
15.98692986,21.52337785,29.40931368,14.05410775,19.52632953,27.97964245,17.41061678,18.56898322,20.27349036,13.93294584,19.16327276,17.8551889,13.34134594,22.85424208,17.98538847,12.58500908,15.11784872,20.38205146
