LA1,LA2,LA3,SA1,SA2,SA3,O1,O2,O3
2.691994489,1.47848165,0,2.930486659,3.796531801,2.423236414,2.936373971,2.282066772,1.210332121
34.99592836,16.05208649,18.53227765,17.94923078,13.6228494,14.94329122,9.712621597,9.12826709,6.051660606
0.961426603,0,0.756419496,0.732621665,0,0.605809103,0.677624763,0,1.210332121
81.33669064,85.7519357,64.48476202,72.16323397,70.79415182,80.3706744,108.419962,92.31997398,97.43173576
5.191703658,6.125138264,7.753299833,4.76204082,12.282897,6.663900138,11.74549588,16.38938864,13.51537535
177.8639216,210.155606,200.2620615,206.9656203,225.3353287,251.0069052,164.6628173,157.8775285,197.4858578
177.8639216,210.155606,200.2620615,206.9656203,225.3353287,251.0069052,164.6628173,157.8775285,197.4858578
0.769141283,0,1.323734118,0,0,0,0,0,0
16.53653758,9.715736557,11.91360706,4.029419156,4.689833401,10.50069113,0,2.074606157,3.429274343
0,0,0,0,0,0,0,0.207460616,0
11.53711924,4.43544495,3.592992605,5.128351653,3.349881001,3.230981885,0.677624763,2.074606157,1.210332121
11.92168988,11.40542987,18.34317278,6.593594982,8.709690603,7.673581978,9.034996834,12.24017632,9.682656969
13.26768712,19.22026145,18.72138252,10.62301414,12.9528732,10.29875476,20.78049272,14.10732187,13.91881939
1.538282565,2.323328307,0,0,1.3399524,0,0.903499683,0,0
1.922853207,3.379386629,2.269258488,2.930486659,1.116627,1.009681839,2.71049905,2.904448619,2.824108283
47.10990356,25.76782304,29.50036034,27.10700159,36.17871481,25.24204598,34.33298797,60.57849978,41.15129212
559.3579978,601.7420316,583.5776411,597.8192784,676.4526368,687.5933325,620.0266578,616.3654892,625.7417067
139.2145722,144.2575667,162.062877,149.8211304,124.3922478,155.2890669,134.169703,132.5673334,137.5744178
11.72940456,0,0.189104874,2.930486659,0,0,0,0,0
152.8668299,72.65681252,62.78281816,91.21139725,95.58327123,67.64868322,97.57796581,121.7793814,116.3936057
23.65109444,19.64268478,22.50348,15.38505496,21.88588921,15.95297306,27.55674034,29.87432866,28.64452687
167.8650849,127.9942686,149.5819553,145.7917113,162.1342405,144.9903121,167.3733164,196.8801243,190.8290311
162.0965253,162.6329815,161.1173526,169.2356045,161.2409389,162.7607125,130.5557043,147.2970371,139.591638
509.748385,523.5937158,527.0352838,509.9046786,559.4301272,560.1714844,465.5282119,499.7726232,531.5375232
3.268850451,0.211211664,2.269258488,0.366310832,0,0.403872736,1.355249525,1.867145541,3.630996364
321.3087708,293.16179,308.6191543,316.85887,318.0153697,346.9266799,282.569526,274.0554733,294.9175935
0,2.112116643,0,0,2.009928601,4.240663724,0,3.111909235,1.613776162
0,0,0,0,0.2233254,0,0,0,0
568.5876932,644.1955761,627.4499718,531.8833285,552.7303652,587.8367668,603.5377885,578.1927359,632.6002553
1.153711924,0,1.512838992,0,2.009928601,1.009681839,1.129374604,1.45222431,0
574.9331087,481.3513829,517.3909352,501.4795295,548.0405318,548.0553023,509.5738215,517.1993149,548.2804509
0,0,0.378209748,0,0.8933016,0,0.225874921,0,0.806888081
202.2841573,216.7031676,225.7912195,206.2329986,198.3129553,192.0414858,273.0827793,260.1556121,216.4477277
1788.638053,1950.750931,1744.681567,1798.219876,1847.124384,1885.075994,1793.220997,1829.80263,1817.918846
0,1.47848165,0.189104874,0,0,0.201936368,0.225874921,0,0
0.576855962,0.422423329,0.378209748,1.465243329,0,1.615490943,0.225874921,0.622381847,1.008610101
15.38282565,5.491503272,9.266138825,4.395729988,3.796531801,4.442600092,0.225874921,1.244763694,0.806888081
119.2168988,122.5027653,135.9664044,126.743548,140.2483512,135.2973664,126.0382058,114.5182599,145.2398545
465.330476,441.009955,447.0439221,456.7896079,442.4076175,410.9405085,475.4667084,491.6816592,454.4797115
0.576855962,2.112116643,1.89104874,1.831554162,1.5632778,1.413554575,2.032874288,1.45222431,2.017220202
7.883698147,3.801809957,3.403887731,5.860973317,8.039714403,5.654218299,7.453872388,11.61779448,11.29643313
0.192285321,0,0,0,0,0,0,0.207460616,0.40344404
1.345997245,0.422423329,0.756419496,0.366310832,0.2233254,0.201936368,0.677624763,0.414921231,0.40344404
12.69083116,11.61664154,12.29181681,13.5535008,11.6129208,14.13554575,12.87487049,11.41033386,12.70848727
0,0,0,0.366310832,0,0,0,0,0
2.499709168,2.323328307,1.701943866,2.930486659,2.456579401,1.211618207,5.646873021,8.298424627,4.034440404
0,0,0.189104874,0.366310832,0.2233254,0,0,0,0
183.4401959,157.3526899,152.0403187,178.3933753,215.7323365,228.7939048,138.4613265,159.1222922,164.0000024
26.72765957,34.42750128,41.79217715,35.53215074,44.44175461,47.45504644,29.13786479,20.95352218,29.24969293
0.576855962,0.422423329,0,0,1.3399524,0.403872736,1.129374604,1.659684925,1.815498182
196.9001683,187.9783812,163.7648209,185.3532812,221.3154715,152.6638941,242.589665,260.3630727,275.7540016
269.1994489,246.0615889,244.8908118,240.6662168,255.7075831,224.7551774,296.799646,339.4055672,303.7933624
51.91703658,14.15118151,23.82721412,13.5535008,8.263039803,13.52973664,0.677624763,1.659684925,2.218942222
0.192285321,0,0,0,0,0,0,0.414921231,0
455.5239246,540.0682256,570.5294048,492.6880695,491.5392056,512.5145016,378.3404924,375.9186356,440.3591701
